date,open,high,low,close,volume,dividends,stock splits,capital gains,symbol,ts_code,daily_return
2018-04-30,52.82151801734934,53.22163432332227,52.10503076129515,52.33145523071289,1802100,0.0,0.0,0.0,SOXX,SOXX,-0.01096174369905567
2018-05-01,52.201173012641384,53.249539176269636,52.139140477994005,53.190608978271484,3127800,0.0,0.0,0.0,SOXX,SOXX,0.016417539771650835
2018-05-02,53.24333288348552,53.4108235504402,52.731553873577376,52.95487594604492,1543200,0.0,0.0,0.0,SOXX,SOXX,-0.004431854358404874
2018-05-03,52.53925641514585,53.50387723164788,52.13914017970765,53.2712516784668,2396700,0.0,0.0,0.0,SOXX,SOXX,0.00597444006372938
2018-05-04,52.98279633575249,54.61737993129528,52.74086731485909,54.5212287902832,1977900,0.0,0.0,0.0,SOXX,SOXX,0.0234643841177411
2018-05-07,54.96787611776028,55.30595987032149,54.76936913816813,55.048519134521484,1185000,0.0,0.0,0.0,SOXX,SOXX,0.009671285037732957
2018-05-08,55.014394495802314,55.45173169022605,54.80037940373532,55.37418746948242,1206300,0.0,0.0,0.0,SOXX,SOXX,0.005916023538528048
2018-05-09,55.57891450937532,56.258180915884274,55.45484940112512,56.21786117553711,1043700,0.0,0.0,0.0,SOXX,SOXX,0.015235866106742435
2018-05-10,56.53421015768532,57.266201820426225,56.50009155628455,57.241390228271484,1242900,0.0,0.0,0.0,SOXX,SOXX,0.018206474443032583
2018-05-11,56.915722337981975,57.35305598327412,56.720317716707754,56.822669982910156,1857900,0.0,0.0,0.0,SOXX,SOXX,-0.007314990843016345
2018-05-14,57.53296011022809,58.209124040428414,57.41509615181377,57.51744842529297,1653900,0.0,0.0,0.0,SOXX,SOXX,0.012227134743787449
2018-05-15,57.139043824536316,57.300333398413365,56.48459271658924,56.894012451171875,1263900,0.0,0.0,0.0,SOXX,SOXX,-0.010839075640339813
2018-05-16,57.34375097020859,57.75006833600552,56.859889385686934,57.62600326538086,1221300,0.0,0.0,0.0,SOXX,SOXX,0.012865867297322309
2018-05-17,57.492629956148626,57.92686479322439,57.02737885207949,57.45851135253906,1301400,0.0,0.0,0.0,SOXX,SOXX,-0.0029065335673282844
2018-05-18,56.946732362644156,57.02737536180816,56.43495688940736,56.636566162109375,2072700,0.0,0.0,0.0,SOXX,SOXX,-0.014305020632828569
2018-05-21,57.47092586724944,57.76868633505458,56.7017131002119,57.20418167114258,1473300,0.0,0.0,0.0,SOXX,SOXX,0.01002206785292259
2018-05-22,57.69113799294102,57.960984490292105,57.328242692854396,57.52364730834961,1496400,0.0,0.0,0.0,SOXX,SOXX,0.005584655314948561
2018-05-23,57.07701338616009,57.852430815672726,56.83818312826787,57.83382034301758,1039200,0.0,0.0,0.0,SOXX,SOXX,0.005392096106238142
2018-05-24,57.87413069438551,58.19050155966593,57.34684710211278,58.06643295288086,1136100,0.0,0.0,0.0,SOXX,SOXX,0.004022086185619944
2018-05-25,58.063341606564315,58.61853919793554,57.97028925215547,58.534793853759766,1400700,0.0,0.0,0.0,SOXX,SOXX,0.008065949242292314
2018-05-29,58.28666799530339,58.671276162878165,57.77799473794731,58.18121337890625,1538400,0.0,0.0,0.0,SOXX,SOXX,-0.006040517982123239
2018-05-30,58.49758354480628,58.996949783998346,58.27115907964828,58.55961608886719,2143500,0.0,0.0,0.0,SOXX,SOXX,0.00650386418544735
2018-05-31,58.46345814136329,58.73020230932745,58.04162908168514,58.13467788696289,1606500,0.0,0.0,0.0,SOXX,SOXX,-0.00725650593848548
